crate	lint	api	reason
boxddd	inherent_method_missing	World::try_body_overlap_shape	result_first_api
boxddd	inherent_method_missing	World::try_body_overlap_shape_with_transform	result_first_api
boxddd	inherent_method_missing	World::try_body_position	result_first_api
boxddd	inherent_method_missing	World::try_body_rotation	result_first_api
boxddd	inherent_method_missing	World::try_body_shapes	result_first_api
boxddd	inherent_method_missing	World::try_body_shapes_into	result_first_api
boxddd	inherent_method_missing	World::try_body_sleep_enabled	result_first_api
boxddd	inherent_method_missing	World::try_body_sleep_threshold	result_first_api
boxddd	inherent_method_missing	World::try_body_transform	result_first_api
boxddd	inherent_method_missing	World::try_body_type	result_first_api
boxddd	inherent_method_missing	World::try_body_world_center_of_mass	result_first_api
boxddd	inherent_method_missing	World::try_body_world_inverse_rotational_inertia	result_first_api
boxddd	inherent_method_missing	World::try_body_world_point	result_first_api
boxddd	inherent_method_missing	World::try_body_world_point_velocity	result_first_api
boxddd	inherent_method_missing	World::try_body_world_vector	result_first_api
boxddd	inherent_method_missing	World::try_bounds	result_first_api
boxddd	inherent_method_missing	World::try_clear_custom_filter	result_first_api
boxddd	inherent_method_missing	World::try_clear_friction_callback	result_first_api
boxddd	inherent_method_missing	World::try_clear_pre_solve	result_first_api
boxddd	inherent_method_missing	World::try_clear_restitution_callback	result_first_api
boxddd	inherent_method_missing	World::try_contact_data	result_first_api
boxddd	inherent_method_missing	World::try_contact_events	result_first_api
boxddd	inherent_method_missing	World::try_contact_events_into	result_first_api
boxddd	inherent_method_missing	World::try_contact_recycle_distance	result_first_api
boxddd	inherent_method_missing	World::try_continuous_enabled	result_first_api
boxddd	inherent_method_missing	World::try_counters	result_first_api
boxddd	inherent_method_missing	World::try_create_body	result_first_api
boxddd	inherent_method_missing	World::try_create_capsule_shape	result_first_api
boxddd	inherent_method_missing	World::try_create_compound_shape	result_first_api
boxddd	inherent_method_missing	World::try_create_created_hull_shape	result_first_api
boxddd	inherent_method_missing	World::try_create_distance_joint	result_first_api
boxddd	inherent_method_missing	World::try_create_filter_joint	result_first_api
boxddd	inherent_method_missing	World::try_create_height_field_shape	result_first_api
boxddd	inherent_method_missing	World::try_create_hull_shape	result_first_api
boxddd	inherent_method_missing	World::try_create_mesh_shape	result_first_api
boxddd	inherent_method_missing	World::try_create_motor_joint	result_first_api
boxddd	inherent_method_missing	World::try_create_parallel_joint	result_first_api
boxddd	inherent_method_missing	World::try_create_prismatic_joint	result_first_api
boxddd	inherent_method_missing	World::try_create_revolute_joint	result_first_api
boxddd	inherent_method_missing	World::try_create_sphere_shape	result_first_api
boxddd	inherent_method_missing	World::try_create_spherical_joint	result_first_api
boxddd	inherent_method_missing	World::try_create_transformed_hull_shape	result_first_api
boxddd	inherent_method_missing	World::try_create_weld_joint	result_first_api
boxddd	inherent_method_missing	World::try_create_wheel_joint	result_first_api
boxddd	inherent_method_missing	World::try_debug_draw	result_first_api
boxddd	inherent_method_missing	World::try_debug_draw_collect	result_first_api
boxddd	inherent_method_missing	World::try_debug_draw_collect_into	result_first_api
boxddd	inherent_method_missing	World::try_debug_draw_frame	result_first_api
boxddd	inherent_method_missing	World::try_debug_draw_frame_into	result_first_api
boxddd	inherent_method_missing	World::try_destroy_body	result_first_api
boxddd	inherent_method_missing	World::try_destroy_joint	result_first_api
boxddd	inherent_method_missing	World::try_destroy_shape	result_first_api
boxddd	inherent_method_missing	World::try_disable_body	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_current_length	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_length	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_limit_enabled	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_max_length	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_max_motor_force	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_min_length	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_motor_enabled	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_motor_force	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_motor_speed	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_spring_damping_ratio	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_spring_enabled	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_spring_force_range	result_first_api
boxddd	inherent_method_missing	World::try_distance_joint_spring_hertz	result_first_api
boxddd	inherent_method_missing	World::try_enable_body	result_first_api
